analysis_neighborhood,year,median_hh_income,total_population,total_housing_units,median_home_value,tract_count
Bayview Hunters Point,2013,57004.60716443677,11585.0,3392.0,497500.0,3.0
Bayview Hunters Point,2014,54066.55643390426,11385.0,3437.0,485200.0,3.0
Bayview Hunters Point,2015,47007.01981230448,10549.0,3452.0,508400.0,3.0
Bayview Hunters Point,2016,48168.281293430926,10793.0,3418.0,567700.0,3.0
Bayview Hunters Point,2017,50583.31147830697,11317.0,3493.0,601400.0,3.0
Bayview Hunters Point,2018,53628.67472118959,11298.0,3547.0,658500.0,3.0
Bayview Hunters Point,2019,65118.87645093211,11372.0,3725.0,714100.0,3.0
Bayview Hunters Point,2020,78521.1518006002,11996.0,3825.0,812500.0,3.0
Bayview Hunters Point,2021,83023.31453707583,11935.0,3882.0,879700.0,3.0
Bayview Hunters Point,2022,92689.53910408648,12211.0,3958.0,938500.0,3.0
Bayview Hunters Point,2023,95521.27619366167,11959.0,3945.0,980000.0,3.0
Castro/Upper Market,2013,94975.07328869047,16128.0,9578.0,903300.5,4.0
Castro/Upper Market,2014,98871.74386418158,16257.0,9571.0,898850.5,4.0
Castro/Upper Market,2015,100634.68081203375,16354.0,9601.0,983350.0,4.0
Castro/Upper Market,2016,102559.8507828932,17116.0,9662.0,1043900.0,4.0
Castro/Upper Market,2017,113638.97497991507,17426.0,9740.0,1063350.0,4.0
Castro/Upper Market,2018,129091.72461399752,17746.0,9821.0,1182500.0,4.0
Castro/Upper Market,2019,136217.03008484037,17916.0,9816.0,1316200.0,4.0
Castro/Upper Market,2020,177695.03357206803,6702.0,3760.0,1343450.0,2.0
Castro/Upper Market,2021,206992.04742839545,6494.0,3851.0,1315800.0,2.0
Castro/Upper Market,2022,208031.58659217876,6444.0,3856.0,1440150.0,2.0
Castro/Upper Market,2023,211306.28386787936,6267.0,3802.0,1541950.0,2.0
Chinatown,2013,29265.83572958091,3269.0,2011.0,1000001.0,2.0
Chinatown,2014,28504.613629449344,3287.0,1949.0,1000001.0,2.0
