analysis_neighborhood,year,total_crime,violent_crime,property_crime,total_units,median_value,parcel_count,pct_residential,log_median_value,density,population,pop_white,pop_hispanic,pop_black,pop_asian,median_hh_income,log_income,crime_rate,violent_rate,property_rate,pct_white,pct_hispanic,pct_black,pct_asian,in_hospitality_zone
Bayview Hunters Point,2018,7385,1038,3127,9762.0,344440.0,10393.0,0.7718656788222842,12.749675188810102,0.9392860579236024,39816.0,15992.0,193236.0,47907.0,76029.0,53628.67472118959,10.889839180151771,185.47819971870604,26.069921639541892,78.53626682740607,0.40164757886276875,4.853224834237492,1.2032097649186257,1.9095087402049427,0
Bayview Hunters Point,2019,7563,987,3297,9854.0,373871.0,10477.0,0.7797079316598263,12.83166609711206,0.9405364130953517,39816.0,15992.0,193236.0,47907.0,76029.0,65118.87645093211,11.08396974700995,189.9487643158529,24.789029535864977,82.80590717299579,0.40164757886276875,4.853224834237492,1.2032097649186257,1.9095087402049427,0
Bayview Hunters Point,2020,7448,1111,3327,9744.0,396226.0,10507.0,0.781288664699724,12.88974003451598,0.927381745502998,39816.0,15992.0,193236.0,47907.0,76029.0,78521.1518006002,11.271123317164626,187.06047819971872,27.903355435001004,83.55937311633514,0.40164757886276875,4.853224834237492,1.2032097649186257,1.9095087402049427,0
Bayview Hunters Point,2021,8440,1046,4069,9550.0,412226.0,10397.0,0.789650860825238,12.929327021625891,0.9185341925555449,39816.0,15992.0,193236.0,47907.0,76029.0,83023.31453707583,11.326876745371326,211.9750853928069,26.270845891099057,102.195097448262,0.40164757886276875,4.853224834237492,1.2032097649186257,1.9095087402049427,0
Bayview Hunters Point,2022,8435,1067,4328,10206.0,431530.0,10397.0,0.7905164951428296,12.97509231200197,0.9816293161488892,39816.0,15992.0,193236.0,47907.0,76029.0,92689.53910408648,11.437010898412662,211.8495077355837,26.79827205143661,108.70002009242516,0.40164757886276875,4.853224834237492,1.2032097649186257,1.9095087402049427,0
Bayview Hunters Point,2023,8320,976,4285,10123.0,482696.0,9845.0,0.8354494667343829,13.087142334893718,1.0282376841036058,39816.0,15992.0,193236.0,47907.0,76029.0,95521.27619366167,11.467104289023586,208.96122161944947,24.51275868997388,107.62005224030541,0.40164757886276875,4.853224834237492,1.2032097649186257,1.9095087402049427,0
Bernal Heights,2018,2753,262,1386,8403.0,481071.0,6925.0,0.9422382671480144,13.08377014734235,1.2134296028880867,24725.0,54210.0,125557.0,4547.0,19969.0,,,111.34479271991911,10.596562184024267,56.05662285136501,2.1925176946410514,5.078139534883721,0.18390293225480284,0.8076440849342771,0
Bernal Heights,2019,2651,258,1330,8523.0,519583.0,6935.0,0.9431867339581831,13.160781845768373,1.228983417447729,24725.0,54210.0,125557.0,4547.0,19969.0,,,107.21941354903944,10.434782608695652,53.791708796764404,2.1925176946410514,5.078139534883721,0.18390293225480284,0.8076440849342771,0
Bernal Heights,2020,2640,266,1469,8502.0,554949.0,6948.0,0.9431491076568796,13.226631496614361,1.2236614853195165,24725.0,54210.0,125557.0,4547.0,19969.0,,,106.77451971688575,10.758341759352883,59.413549039433775,2.1925176946410514,5.078139534883721,0.18390293225480284,0.8076440849342771,0
Bernal Heights,2021,2844,315,1560,8503.0,578755.5,6950.0,0.9433093525179856,13.268635387577167,1.223453237410072,24725.0,54210.0,125557.0,4547.0,19969.0,,,115.0252780586451,12.740141557128412,63.09403437815976,2.1925176946410514,5.078139534883721,0.18390293225480284,0.8076440849342771,0
