year_month,zone,total_crimes,Other,Property,Violent
2025-04,Hospitality Zone,2618,1597.0,776.0,245.0
2025-04,Rest of SF,5127,2364.0,2265.0,498.0
2025-05,Hospitality Zone,2815,1613.0,908.0,294.0
2025-05,Rest of SF,5323,2335.0,2462.0,526.0
2025-06,Hospitality Zone,2705,1542.0,836.0,327.0
2025-06,Rest of SF,4721,1975.0,2302.0,444.0
2025-07,Hospitality Zone,2801,1658.0,831.0,312.0
2025-07,Rest of SF,5130,2244.0,2338.0,548.0
2025-08,Hospitality Zone,2796,1551.0,946.0,299.0
2025-08,Rest of SF,5378,2363.0,2531.0,484.0
2025-09,Hospitality Zone,2737,1421.0,980.0,336.0
2025-09,Rest of SF,5048,2270.0,2271.0,507.0
2025-10,Hospitality Zone,2860,1658.0,866.0,336.0
2025-10,Rest of SF,5298,2433.0,2307.0,558.0
2025-11,Hospitality Zone,2949,1833.0,839.0,277.0
2025-11,Rest of SF,4784,2229.0,2067.0,488.0
2025-12,Hospitality Zone,2813,1661.0,882.0,270.0
2025-12,Rest of SF,4603,2086.0,2087.0,430.0
2026-01,Hospitality Zone,2764,1738.0,702.0,324.0
2026-01,Rest of SF,4332,1967.0,1872.0,493.0
2026-02,Hospitality Zone,2363,1538.0,523.0,302.0
2026-02,Rest of SF,4060,1952.0,1698.0,410.0
2026-03,Hospitality Zone,2562,1677.0,549.0,336.0
2026-03,Rest of SF,4275,2094.0,1677.0,504.0
