analysis_neighborhood,year,median_value,mean_value,total_units,parcel_count,median_stories,median_bedrooms,median_year_built,pct_residential,is_soma,is_potrero_hill,is_hayes_valley,is_civic_center,post_van_ness,log_median_value,density,building_age,crime_rate,violent_rate,property_rate,median_hh_income,log_income,post_soma_dev,soma_x_post,potrero_x_post,van_ness_treated,van_ness_x_post
Bayview Hunters Point,2009,229146.0,380318.3672467172,9157.0,9367,1.0,0.0,1944.0,0.7789046653144016,0,0,0,0,0,12.342114633969947,0.9775808690082204,65.0,,,,,,0,0,0,0,0
Bayview Hunters Point,2010,233786.0,386594.71588844963,9369.0,9359,1.0,0.0,1944.0,0.7794636179078961,0,0,0,0,0,12.362161445987692,1.0010684902233145,66.0,,,,,,0,0,0,0,0
Bayview Hunters Point,2011,242881.0,396966.74779372674,9342.0,9405,1.0,0.0,1945.0,0.7812865497076024,0,0,0,0,0,12.400326890440478,0.9933014354066986,66.0,,,,,,0,0,0,0,0
Bayview Hunters Point,2012,247693.0,401000.6582997624,9392.0,9681,1.0,0.0,1946.0,0.7813242433632889,0,0,0,0,0,12.419945355086204,0.9701477120132218,66.0,,,,,,0,0,0,0,0
Bayview Hunters Point,2013,263984.0,402026.62509928516,9264.0,10072,1.0,0.0,1947.0,0.7703534551231136,0,0,0,0,0,12.483643774231226,0.9197776012708498,66.0,,,,57004.60716443677,10.950887370996584,0,0,0,0,0
Bayview Hunters Point,2015,288910.0,450082.32097300503,9633.0,10113,1.0,0.0,1947.0,0.7658459408681895,0,0,0,0,1,12.57387049990858,0.9525363393651736,68.0,,,,47007.01981230448,10.758052227248049,1,0,0,0,0
Bayview Hunters Point,2016,310221.0,496068.9513683796,9628.0,10158,1.0,0.0,1948.0,0.7722976963969286,0,0,0,0,1,12.64504022569234,0.9478243748769443,68.0,,,,48168.281293430926,10.782456018967602,1,0,0,0,0
Bayview Hunters Point,2017,327789.0,526907.1095196336,9741.0,10263,1.0,0.0,1948.0,0.7767709246808925,0,0,0,0,1,12.700125387681837,0.949137679041216,69.0,,,,50583.31147830697,10.831376988193712,1,0,0,0,0
Bayview Hunters Point,2018,344440.0,571309.73443664,9762.0,10393,1.0,0.0,1949.0,0.7718656788222842,0,0,0,0,1,12.749675188810102,0.9392860579236024,69.0,185.47819971870604,26.069921639541892,78.53626682740607,53628.67472118959,10.889839180151771,1,0,0,0,0
Bayview Hunters Point,2019,373871.0,642648.2865324044,9854.0,10477,1.0,0.0,1950.0,0.7797079316598263,0,0,0,0,1,12.83166609711206,0.9405364130953517,69.0,189.9487643158529,24.789029535864977,82.80590717299579,65118.87645093211,11.08396974700995,1,0,0,0,0
