BOSdistrict,year,reliability,safety,n
1,2001,2.898,3.152,147
1,2002,2.963,3.319,136
1,2003,3.22,3.389,127
1,2004,3.409,3.296,110
1,2005,3.292,3.281,312
1,2007,2.961,3.216,256
1,2009,3.015,3.291,205
1,2011,3.315,3.109,327
1,2013,3.312,3.484,218
1,2015,3.598,3.55,132
1,2017,3.484,3.638,157
1,2019,3.512,3.565,172
2,2001,2.719,3.251,185
2,2002,2.981,3.361,108
2,2003,3.264,3.475,121
2,2004,3.276,3.405,127
2,2005,3.205,3.396,278
2,2007,2.88,3.228,366
2,2009,3.065,3.343,247
2,2011,3.188,3.104,309
2,2013,3.339,3.428,254
2,2015,3.413,3.636,143
2,2017,3.344,3.651,151
2,2019,3.446,3.549,166
3,2001,2.749,3.189,167
3,2002,2.907,3.206,97
3,2003,3.42,3.585,119
3,2004,3.173,3.38,133
3,2005,3.149,3.388,276
3,2007,2.848,3.18,374
3,2009,3.102,3.246,235
3,2011,3.162,3.024,340
3,2013,3.264,3.31,242
3,2015,3.647,3.625,136
3,2017,3.629,3.531,143
3,2019,3.411,3.351,151
4,2001,2.626,3.051,179
4,2002,3.0,3.425,127
4,2003,3.144,3.505,111
4,2004,3.138,3.287,87
4,2005,3.157,3.296,274
4,2007,2.833,3.22,251
4,2009,2.819,3.205,171
4,2011,2.868,3.034,326
4,2013,3.208,3.494,240
4,2015,3.289,3.551,159
4,2017,3.287,3.697,122
4,2019,3.11,3.595,154
5,2001,2.691,3.214,194
5,2002,3.056,3.35,144
5,2003,3.213,3.579,127
5,2004,3.155,3.299,187
5,2005,3.218,3.426,362
5,2007,2.746,3.206,327
5,2009,2.945,3.265,236
5,2011,2.977,3.029,350
5,2013,3.297,3.393,296
5,2015,3.551,3.611,176
5,2017,3.526,3.63,175
5,2019,3.27,3.524,189
6,2001,2.848,3.109,171
6,2002,2.756,3.096,127
6,2003,3.347,3.39,121
6,2004,3.272,3.195,151
6,2005,3.175,3.277,285
6,2007,2.863,3.132,315
6,2009,3.055,3.211,253
6,2011,3.023,2.904,346
6,2013,3.261,3.338,234
6,2015,3.65,3.519,160
6,2017,3.6,3.783,165
6,2019,3.29,3.411,169
7,2001,2.637,3.165,190
7,2002,3.051,3.404,117
7,2003,3.196,3.453,107
7,2004,3.548,3.511,93
7,2005,3.127,3.404,332
7,2007,2.819,3.186,254
7,2009,2.94,3.331,168
7,2011,2.948,3.076,305
7,2013,3.198,3.339,283
7,2015,3.57,3.519,186
7,2017,3.417,3.713,204
7,2019,3.116,3.624,181
8,2001,2.469,3.141,192
8,2002,2.755,3.288,143
8,2003,3.089,3.421,135
8,2004,3.096,3.449,209
8,2005,3.038,3.407,424
8,2007,2.723,3.27,448
8,2009,2.769,3.27,308
8,2011,2.858,3.164,338
8,2013,3.03,3.258,337
8,2015,3.254,3.63,228
8,2017,3.13,3.594,200
8,2019,3.162,3.796,191
9,2001,2.581,2.825,148
9,2002,2.824,3.177,142
9,2003,3.089,3.052,101
9,2004,3.075,3.031,133
9,2005,3.0,3.01,295
9,2007,2.706,2.939,272
9,2009,2.801,3.035,146
9,2011,3.018,2.879,282
9,2013,3.168,3.134,220
9,2015,3.302,3.315,179
9,2017,3.442,3.434,197
9,2019,3.171,3.313,164
10,2001,2.562,2.797,153
10,2002,2.85,2.982,113
10,2003,3.228,3.117,123
10,2004,2.876,2.898,89
10,2005,3.038,3.017,239
10,2007,2.866,2.972,254
10,2009,2.815,2.962,162
10,2011,2.856,2.843,278
10,2013,3.132,3.208,204
10,2015,3.276,3.171,123
10,2017,3.295,3.39,146
10,2019,3.349,3.303,146
11,2001,2.906,2.977,181
11,2002,3.033,3.058,120
11,2003,3.067,3.214,104
11,2004,3.171,3.024,82
11,2005,3.069,2.963,217
11,2007,2.845,3.021,142
11,2009,2.842,3.0,114
11,2011,2.964,2.839,252
11,2013,3.377,3.257,191
11,2015,3.635,3.316,115
11,2017,3.509,3.599,165
11,2019,3.39,3.348,141
12,2015,3.509,3.423,53
