neighborhood,year,month,treated,post,treated_x_post,total_crime,violent,property,drugs,time
Control,2012,1,0,0,0,183,87,76,11,1
Control,2012,2,0,0,0,225,87,66,37,2
Control,2012,3,0,0,0,199,86,61,29,3
Control,2012,4,0,0,0,195,75,87,13,4
Control,2012,5,0,0,0,216,71,94,22,5
Control,2012,6,0,0,0,229,88,106,15,6
Control,2012,7,0,0,0,231,115,84,7,7
Control,2012,8,0,0,0,209,84,98,4,8
Control,2012,9,0,0,0,219,90,92,12,9
Control,2012,10,0,0,0,241,78,128,12,10
Control,2012,11,0,0,0,231,112,91,8,11
Control,2012,12,0,0,0,177,67,89,9,12
Control,2013,1,0,0,0,220,90,94,14,13
Control,2013,2,0,0,0,166,74,65,8,14
Control,2013,3,0,0,0,179,68,83,2,15
Control,2013,4,0,0,0,199,85,74,15,16
Control,2013,5,0,0,0,206,79,85,19,17
Control,2013,6,0,0,0,191,83,87,6,18
Control,2013,7,0,0,0,210,106,88,2,19
Control,2013,8,0,0,0,176,63,100,2,20
Control,2013,9,0,0,0,232,94,98,18,21
Control,2013,10,0,0,0,213,93,88,17,22
Control,2013,11,0,0,0,260,90,131,22,23
Control,2013,12,0,0,0,211,75,95,12,24
Control,2014,1,0,0,0,251,84,119,12,25
Control,2014,2,0,0,0,206,64,100,16,26
Control,2014,3,0,0,0,268,95,115,21,27
Control,2014,4,0,0,0,245,109,91,13,28
Control,2014,5,0,0,0,234,88,98,22,29
Control,2014,6,0,0,0,223,94,95,14,30
Control,2014,7,0,0,0,228,98,98,14,31
Control,2014,8,0,0,0,236,107,94,22,32
Control,2014,9,0,0,0,233,79,96,26,33
Control,2014,10,0,0,0,270,113,113,23,34
Control,2014,11,0,0,0,227,81,112,11,35
Control,2014,12,0,0,0,240,99,104,19,36
Control,2015,1,0,1,0,215,96,86,7,37
Control,2015,2,0,1,0,199,78,90,13,38
Control,2015,3,0,1,0,197,84,66,13,39
Control,2015,4,0,1,0,184,76,74,5,40
Control,2015,5,0,1,0,212,96,71,10,41
Control,2015,6,0,1,0,258,103,97,17,42
Control,2015,7,0,1,0,206,88,77,17,43
Control,2015,8,0,1,0,198,84,74,13,44
Control,2015,9,0,1,0,203,84,86,14,45
Control,2015,10,0,1,0,185,80,58,25,46
Control,2015,11,0,1,0,219,79,85,20,47
Control,2015,12,0,1,0,174,43,87,18,48
Control,2016,1,0,1,0,230,73,83,39,49
Control,2016,2,0,1,0,212,76,73,22,50
Control,2016,3,0,1,0,198,68,82,26,51
Control,2016,4,0,1,0,266,94,96,34,52
Control,2016,5,0,1,0,246,100,80,14,53
Control,2016,6,0,1,0,216,90,63,40,54
Control,2016,7,0,1,0,173,60,66,11,55
Control,2016,8,0,1,0,235,96,87,23,56
Control,2016,9,0,1,0,205,76,92,23,57
Control,2016,10,0,1,0,227,90,89,25,58
Control,2016,11,0,1,0,190,85,68,12,59
Control,2016,12,0,1,0,197,77,85,3,60
Control,2017,1,0,1,0,182,75,59,4,61
Control,2017,2,0,1,0,172,66,70,16,62
Control,2017,3,0,1,0,247,110,78,20,63
Control,2017,4,0,1,0,192,66,67,24,64
Control,2017,5,0,1,0,197,81,67,18,65
Control,2017,6,0,1,0,231,92,107,10,66
Control,2017,7,0,1,0,223,99,74,8,67
Control,2017,8,0,1,0,220,105,75,10,68
Control,2017,9,0,1,0,211,80,76,22,69
Control,2017,10,0,1,0,214,93,83,7,70
Control,2017,11,0,1,0,163,62,40,14,71
Control,2017,12,0,1,0,174,81,55,14,72
Control,2018,1,0,1,0,191,91,69,8,73
Control,2018,2,0,1,0,154,58,48,14,74
Control,2018,3,0,1,0,181,62,82,9,75
Control,2018,4,0,1,0,179,74,69,13,76
Control,2018,5,0,1,0,154,61,62,7,77
Control,2018,6,0,1,0,162,62,64,5,78
Control,2018,7,0,1,0,186,76,85,0,79
Control,2018,8,0,1,0,194,83,72,1,80
Control,2018,9,0,1,0,174,80,59,6,81
Control,2018,10,0,1,0,210,87,81,3,82
Control,2018,11,0,1,0,192,67,74,4,83
Control,2018,12,0,1,0,162,62,64,15,84
Control,2019,1,0,1,0,201,80,66,29,85
Control,2019,2,0,1,0,146,60,61,11,86
Control,2019,3,0,1,0,191,77,75,7,87
Control,2019,4,0,1,0,182,77,69,6,88
Control,2019,5,0,1,0,172,58,77,9,89
Control,2019,6,0,1,0,188,77,75,6,90
Control,2019,7,0,1,0,189,69,72,9,91
Control,2019,8,0,1,0,186,92,63,5,92
Control,2019,9,0,1,0,175,76,65,1,93
Control,2019,10,0,1,0,154,57,68,10,94
Control,2019,11,0,1,0,182,79,66,7,95
Control,2019,12,0,1,0,159,63,63,4,96
Control,2020,1,0,1,0,183,65,74,16,97
Control,2020,2,0,1,0,157,63,67,4,98
Control,2020,3,0,1,0,165,63,76,7,99
Control,2020,4,0,1,0,185,69,77,6,100
Control,2020,5,0,1,0,193,79,82,4,101
Control,2020,6,0,1,0,235,130,82,2,102
Control,2020,7,0,1,0,247,100,79,8,103
Control,2020,8,0,1,0,221,98,87,6,104
Control,2020,9,0,1,0,217,121,56,5,105
Control,2020,10,0,1,0,263,125,71,16,106
Control,2020,11,0,1,0,212,100,83,7,107
Control,2020,12,0,1,0,203,102,58,6,108
Control,2021,1,0,1,0,174,70,73,1,109
Control,2021,2,0,1,0,188,92,70,1,110
Control,2021,3,0,1,0,191,99,75,1,111
Control,2021,4,0,1,0,247,114,97,5,112
Control,2021,5,0,1,0,202,90,81,2,113
Control,2021,6,0,1,0,218,96,94,6,114
Control,2021,7,0,1,0,227,105,80,14,115
Control,2021,8,0,1,0,229,110,83,4,116
Control,2021,9,0,1,0,206,110,64,0,117
Control,2021,10,0,1,0,210,84,89,9,118
Control,2021,11,0,1,0,218,89,77,4,119
Control,2021,12,0,1,0,206,78,73,22,120
Control,2022,1,0,1,0,181,81,81,1,121
Control,2022,2,0,1,0,173,81,69,8,122
