neighborhood,year,treated,post,treated_x_post,total_crime,violent,property,drugs
Control,2012,0,0,0,2555,1040,1072,179
Control,2013,0,0,0,2463,1000,1088,137
Control,2014,0,0,0,2861,1111,1235,213
Control,2015,0,1,0,2450,991,951,172
Control,2016,0,1,0,2595,985,964,272
Control,2017,0,1,0,2426,1010,851,167
Control,2018,0,1,0,2139,863,829,85
Control,2019,0,1,0,2125,865,820,104
Control,2020,0,1,0,2481,1115,892,87
Control,2021,0,1,0,2516,1137,956,69
Control,2022,0,1,0,2224,922,890,77
Control,2023,0,1,0,2269,908,1065,39
Temescal,2012,1,0,0,1449,346,924,33
Temescal,2013,1,0,0,1587,436,1011,30
Temescal,2014,1,0,0,1656,352,1131,46
Temescal,2015,1,1,1,1737,368,1116,75
Temescal,2016,1,1,1,1626,301,1093,78
Temescal,2017,1,1,1,1937,340,1388,69
Temescal,2018,1,1,1,1469,307,953,29
Temescal,2019,1,1,1,1996,313,1493,29
Temescal,2020,1,1,1,1516,275,1071,13
Temescal,2021,1,1,1,1598,307,1133,7
Temescal,2022,1,1,1,2288,271,1888,0
Temescal,2023,1,1,1,3002,329,2518,2
